name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Cafe Masala By Miah Bishop’s Stortford,ChIJ_XmLYD-F2EcRbpcBzO3dZ8g,"10 London Rd, Bishop's Stortford CM23 5ND, UK",51.8693919,0.1663726,4.3,246,2,"restaurant, meal_takeaway, food, point_of_interest, establishment",OPERATIONAL,01279 505665,https://cafemasalatakeaway.com/,
Harvest Moon,ChIJO-4RYj6F2EcR9emDXfHXT_I,"Friedberg Ave, Bishop's Stortford CM23 4RF, UK",51.86197999999999,0.1422546,4,900,2,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 836303,https://www.greeneking.co.uk/pubs/hertfordshire/harvest-moon?utm_source=g_places&utm_medium=locations&utm_campaign=PK_pubpage,
Rosey Lea Tea Rooms and Cafe,ChIJi_XGsz2F2EcRGMZeFIdl9Ks,"12 Market Square, Bishop's Stortford CM23 3UU, UK",51.87079249999999,0.1585952,4.2,283,2,"cafe, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 505414,http://www.roseylea.com/,
Shekos Kebab House,ChIJCbzihD2F2EcR_pZujfMOXxA,"40 North St, Bishop's Stortford CM23 2LR, UK",51.87266,0.1584448,4.1,299,2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 755408,https://www.shekoskebab.co.uk/,
Ashoka Indian Takeaway Bishop’s Stortford,ChIJWz3_SnCF2EcRyzNG8DXHmxs,"4 Stansted Rd, Bishop's Stortford CM23 2DX, UK",51.869903,0.166905,4,70,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 655385,https://ashokahertsonline.co.uk/,
"fishnchickn Thorley, Bishops Stortford",ChIJu0zKlSmF2EcR7nYC57BAqjs,"8 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",51.858628,0.1448063,4.1,335,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 466283,https://fishnchickn.co.uk/?y_source=1_MjYwMDU4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Le Raj Tandoori,ChIJWXX4ODiF2EcR3kSwlwIw_xk,"Millers Close, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644444,0.1636111,2.9,14,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 466859,https://lerajonline.com/yFGq,
Host Grill Restaurant Bishop’s Stortford,ChIJeY4Dsz2F2EcRA9N7LE2U_Bw,"4 Market Square, Bishop's Stortford CM23 3UU, UK",51.8711114,0.1587202,4.3,268,2,"restaurant, night_club, bar, food, point_of_interest, establishment",OPERATIONAL,01279 657000,http://www.hostrestaurant.co.uk/,
Shadhona Bishop’s Stortford,ChIJl9rBkVUMdkgR3Uh15aw4D7A,"69 South St, Bishop's Stortford CM23 3AL, UK",51.8674882,0.1608263,4.2,252,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 508149,https://shadhona.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,
Côte Bishop's Stortford,ChIJfz5Alz2F2EcRDuRANP7224U,"17 North St, Bishop's Stortford CM23 2LD, UK",51.87196409999999,0.1584209,4.4,759,2,"restaurant, bar, food, point_of_interest, establishment",OPERATIONAL,01279 657190,https://www.cote.co.uk/restaurant/bishops-stortford?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,
